Q,H,Q_ssa,H_ssa
35890.0,35863.11,35898.542909353906,35868.89787558598
35888.0,35864.03,35894.46908174901,35865.45456427985
35891.65,35872.89,35889.97855211706,35861.34176238167
35882.75,35861.24,35885.00725055083,35856.36470972515
35899.99,35870.92,35879.65649480765,35850.59083095323
35900.0,35865.01,35873.699667524204,35843.93891761222
35874.6,35864.03,35867.14580661251,35836.494880404636
35867.77,35861.0,35860.36673341313,35828.36324856407
35865.64,35843.84,35853.42638019216,35819.65442012948
35854.84,35774.11,35846.33541355839,35810.639263816396
35820.79,35763.91,35839.17404375786,35802.18148060599
35816.26,35770.97,35832.40801818362,35794.41925368215
35813.43,35770.99,35825.996454983986,35787.28742235002
35802.13,35781.12,35819.79120409647,35780.662650338054
35790.2,35758.87,35813.87916636154,35774.36875288809
35792.7,35757.0,35808.4179023838,35768.65402732175
35799.99,35747.29,35803.31882602633,35763.47253104879
35827.81,35756.59,35798.58211995954,35758.90224710721
35837.13,35815.08,35793.89259791385,35754.838871188025
35820.15,35783.42,35789.22028037207,35750.61324149082
35783.42,35771.28,35784.82874727796,35746.65332907931
35768.72,35732.11,35781.31695097331,35743.170547077556
35774.11,35737.71,35778.9063635425,35740.691712269225
35800.0,35759.0,35777.53512930981,35739.20204339303
35774.11,35711.01,35776.888939691096,35738.53897025155
35745.71,35702.99,35777.27576161909,35739.32390769363
35735.1,35703.55,35778.97775193648,35741.65093525049
35737.68,35694.33,35782.13148467418,35745.463254677816
35774.11,35737.87,35786.610413579736,35750.77709599152
35782.59,35762.08,35791.83649778594,35756.94733683539
35784.32,35772.53,35797.552777137505,35763.57007508035
35798.98,35756.59,35803.73881728369,35770.40193383936
35843.65,35798.97,35810.18528496807,35777.46248786372
35854.95,35820.49,35816.16292841098,35784.11895412083
35864.02,35820.49,35821.4690716786,35789.98099763115
35881.59,35846.72,35825.98429992076,35795.00495755104
35862.78,35837.77,35829.41409713605,35798.90746959155
35823.21,35794.69,35832.08557508139,35801.8417927447
35801.28,35774.11,35834.509296846794,35804.36744426227
35800.0,35771.99,35836.990316207346,35806.736895692804
35799.28,35766.62,35839.59945386681,35809.075098734764
