Q,H,Q_ssa,H_ssa
34664.81,34580.55,34615.79522889366,34553.91634321234
34681.96,34606.5,34633.223372507426,34571.01543568253
34664.81,34586.9,34647.14764140541,34584.63442037488
34716.85,34664.81,34657.279259469324,34594.49322489276
34724.67,34658.44,34662.3613109373,34599.19740110836
34690.82,34638.82,34662.09475640492,34598.60521917819
34712.74,34638.82,34656.88802195392,34592.85773753695
34676.24,34612.85,34646.424477405635,34582.07880203524
34648.74,34606.5,34631.36259476534,34566.85028270035
34653.32,34586.9,34612.14271164594,34547.55139465008
34594.15,34509.17,34589.16540182316,34524.94688493143
34582.05,34483.3,34563.845759284144,34500.56486470991
34516.05,34460.36,34536.69794645099,34475.214691029796
34483.3,34425.27,34509.21120310736,34449.65794512514
34405.8,34380.01,34482.53002797831,34424.99650384077
34439.32,34380.01,34458.56138648161,34402.47215436262
34431.62,34354.24,34437.411270871344,34382.56209318987
34390.72,34354.24,34419.67005154586,34365.973807051894
34405.81,34354.24,34406.14994702749,34352.94573636114
34405.81,34353.0,34396.598472476246,34343.60071038491
34380.76,34336.52,34391.04988826882,34337.926874306606
34380.02,34328.48,34389.72975063389,34336.12095836744
34340.07,34302.75,34392.585534466016,34338.13406710078
34380.02,34302.75,34399.86477729054,34344.079755036975
34391.46,34326.01,34410.4637370748,34353.46283100219
34380.02,34342.01,34423.673015164124,34365.51068608633
34397.23,34361.43,34439.07677078863,34379.49162051497
34399.46,34353.43,34455.64410468345,34394.51052520802
34483.3,34391.99,34472.74896981066,34410.01159249059
34509.17,34470.03,34488.69543702215,34424.88795875325
34560.97,34457.44,34502.69967393655,34437.75871999373
34632.46,34510.89,34513.83681114192,34448.58276155021
34612.85,34532.86,34520.94393514232,34456.532823947324
34568.65,34509.17,34524.433604980964,34461.34572887675
34514.0,34483.95,34525.263879884915,34463.56702581536
34535.06,34483.3,34524.646992098875,34463.905115263035
34509.17,34457.44,34522.548197590644,34462.66260736176
34535.06,34478.09,34519.747170360206,34460.514830638705
34546.54,34502.83,34516.43961588839,34457.668622683166
34502.82,34443.54,34512.88856015726,34454.24652284584
34483.3,34405.8,34510.12062452142,34451.5040445265
34410.32,34381.42,34508.90777913575,34450.4290791545
34431.62,34380.01,34510.727719197836,34451.81242935089
34457.45,34390.0,34515.74042652334,34456.10678012052
34476.02,34411.81,34523.782031719085,34463.36828594738
34509.17,34438.07,34534.60402263895,34473.40384534758
34586.9,34485.56,34547.62828451517,34485.70912166206
34612.85,34559.58,34561.4902181767,34499.35998516111
34632.46,34606.5,34575.40189430561,34513.01445700837
34611.08,34563.32,34588.57344146062,34525.60421115115
34612.85,34563.47,34600.739894785285,34537.097454220995
34638.82,34554.62,34611.29147010468,34547.06157817098
34635.0,34547.88,34619.35351709174,34555.08528144622
34577.41,34509.17,34624.70396989153,34560.89617379715
34570.73,34483.3,34627.92232375792,34564.73928453787
34612.85,34528.71,34628.96527296875,34566.700721798676
34633.6,34609.0,34627.004155022754,34565.984839026816
34638.82,34600.01,34621.729017340615,34561.53582813247
34664.81,34627.72,34613.09968924609,34553.452410974176
34695.01,34632.46,34600.90769131651,34541.55680272354
34686.47,34612.85,34585.16189657053,34526.17451207289
34627.12,34560.97,34566.424873983546,34508.11519533879
34560.97,34483.3,34546.221926266466,34488.5915616524
34483.3,34457.44,34526.051426269216,34469.32989803412
34457.44,34380.01,34507.57730943963,34451.33434004721
34442.82,34380.01,34491.86749022401,34436.31155449707
34425.0,34380.01,34479.63847228158,34424.80063322949
34440.77,34380.01,34471.26836724386,34417.0985531428
34400.07,34357.09,34466.77730197324,34413.32055497565
34431.62,34378.26,34466.84391170511,34413.8749652888
34457.45,34391.57,34471.04328751336,34418.59039064295
34457.45,34423.52,34478.891514555005,34427.10713772974
34457.45,34414.99,34490.05079611395,34438.71296465951
34483.3,34426.85,34504.04377313241,34453.138724028424
34509.17,34472.54,34520.18544431169,34469.689333756585
34560.97,34509.77,34537.65276661193,34487.229011063246
34586.9,34506.3,34555.30191088985,34504.74249598687
34595.29,34554.62,34572.428932260635,34521.80193711736
34628.69,34560.91,34588.701358619444,34537.56104671459
34638.82,34609.88,34603.527118634396,34551.81459535793
34678.18,34606.5,34616.73047725748,34563.89408677255
34674.06,34653.53,34627.80514192472,34574.003192041564
34671.01,34609.76,34637.10163731752,34581.8039207469
34664.81,34586.9,34644.92924272883,34588.20150853166
34586.9,34528.71,34651.61193358237,34593.66783317592
34560.97,34509.17,34658.39199265677,34599.35328991564
