Time,Open,High,Low,Close,Volume
2022-01-04,46507.21,95236.31,20000.0,45834.56,387.462777
2022-01-05,45831.17,219899.0,8899.0,43413.16,524.484939
2022-01-06,43420.32,216500.0,8764.0,43086.62,664.465255
2022-01-07,43082.3,209438.0,8337.0,41556.8,749.308495
2022-01-08,41557.86,209000.0,8246.0,41679.74,582.752943
2022-01-09,41679.75,42800.23,8431.0,41857.52,536.87966
2022-01-10,41862.37,42321.53,8485.0,41819.67,633.571621
2022-01-11,41822.49,43088.99,8421.0,42726.6,549.469194
2022-01-12,42730.01,213986.0,8606.0,43902.66,567.753275
2022-01-13,43902.66,44394.55,40000.0,42572.02,485.57561
2022-01-14,42554.53,220273.52,8575.0,43026.37,27379.241734
2022-01-15,43026.37,238957.05,8751.0,43081.93,5484.98801
2022-01-16,43083.49,43431.92,41805.23,43073.87,639.404224
2022-01-17,43069.49,43172.11,41743.65,42202.01,1070.521108
2022-01-18,42201.02,42522.54,41392.63,42350.75,791.761671
2022-01-19,42352.12,42531.75,41181.98,41658.43,861.113051
2022-01-20,41660.01,43503.27,41647.88,42050.56,1015.522212
2022-01-21,42050.56,42270.39,8379.0,36457.15,980.030263
2022-01-22,36441.75,36812.53,15786.12,35062.46,1101.965658
2022-01-23,35062.5,36488.04,34664.82,36247.35,1014.314411
2022-01-24,36243.37,37411.24,10000.0,36673.27,1078.068338
2022-01-25,36664.92,37496.01,35685.71,36866.46,812.240233
